STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C03171V03833,C03171V03833_label,area_of_residence,value
VSA38,Birth Rates,Birth Rates,2008,2008,2008,-,State,State,17.0
VSA38,Birth Rates,Birth Rates,2008,2008,2008,A,Leinster,Leinster,17.7
VSA38,Birth Rates,Birth Rates,2008,2008,2008,010,Carlow,Carlow,20.7
VSA38,Birth Rates,Birth Rates,2008,2008,2008,021,Dublin City,Dublin City,14.5
VSA38,Birth Rates,Birth Rates,2008,2008,2008,022,South Dublin,South Dublin,18.1
VSA38,Birth Rates,Birth Rates,2008,2008,2008,023,Fingal,Fingal,21.7
VSA38,Birth Rates,Birth Rates,2008,2008,2008,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,13.5
VSA38,Birth Rates,Birth Rates,2008,2008,2008,030,Kildare,Kildare,20.5
VSA38,Birth Rates,Birth Rates,2008,2008,2008,040,Kilkenny,Kilkenny,15.5
VSA38,Birth Rates,Birth Rates,2008,2008,2008,050,Laois,Laois,19.5
VSA38,Birth Rates,Birth Rates,2008,2008,2008,060,Longford,Longford,20.2
VSA38,Birth Rates,Birth Rates,2008,2008,2008,070,Louth,Louth,17.1
VSA38,Birth Rates,Birth Rates,2008,2008,2008,080,Meath,Meath,21.2
VSA38,Birth Rates,Birth Rates,2008,2008,2008,090,Offaly,Offaly,17.1
VSA38,Birth Rates,Birth Rates,2008,2008,2008,100,Westmeath,Westmeath,18.0
VSA38,Birth Rates,Birth Rates,2008,2008,2008,110,Wexford,Wexford,18.4
VSA38,Birth Rates,Birth Rates,2008,2008,2008,120,Wicklow,Wicklow,19.0
VSA38,Birth Rates,Birth Rates,2008,2008,2008,B,Munster,Munster,16.3
VSA38,Birth Rates,Birth Rates,2008,2008,2008,130,Clare,Clare,15.9
VSA38,Birth Rates,Birth Rates,2008,2008,2008,141,Cork City,Cork City,12.9
VSA38,Birth Rates,Birth Rates,2008,2008,2008,142,Cork County,Cork County,18.0
VSA38,Birth Rates,Birth Rates,2008,2008,2008,150,Kerry,Kerry,14.2
VSA38,Birth Rates,Birth Rates,2008,2008,2008,161,Limerick City,Limerick City,15.0
VSA38,Birth Rates,Birth Rates,2008,2008,2008,162,Limerick County,Limerick County,17.1
VSA38,Birth Rates,Birth Rates,2008,2008,2008,171,North Tipperary,North Tipperary,18.3
VSA38,Birth Rates,Birth Rates,2008,2008,2008,172,South Tipperary,South Tipperary,14.3
VSA38,Birth Rates,Birth Rates,2008,2008,2008,181,Waterford City,Waterford City,18.7
VSA38,Birth Rates,Birth Rates,2008,2008,2008,182,Waterford County,Waterford County,16.3
VSA38,Birth Rates,Birth Rates,2008,2008,2008,C,Connacht,Connacht,16.0
VSA38,Birth Rates,Birth Rates,2008,2008,2008,191,Galway City,Galway City,14.0
VSA38,Birth Rates,Birth Rates,2008,2008,2008,192,Galway County,Galway County,18.6
VSA38,Birth Rates,Birth Rates,2008,2008,2008,200,Leitrim,Leitrim,16.9
VSA38,Birth Rates,Birth Rates,2008,2008,2008,210,Mayo,Mayo,14.6
VSA38,Birth Rates,Birth Rates,2008,2008,2008,220,Roscommon,Roscommon,14.8
VSA38,Birth Rates,Birth Rates,2008,2008,2008,230,Sligo,Sligo,15.2
VSA38,Birth Rates,Birth Rates,2008,2008,2008,D,Ulster (part of),Ulster (part of),15.8
VSA38,Birth Rates,Birth Rates,2008,2008,2008,240,Cavan,Cavan,18.9
VSA38,Birth Rates,Birth Rates,2008,2008,2008,250,Donegal,Donegal,14.7
VSA38,Birth Rates,Birth Rates,2008,2008,2008,260,Monaghan,Monaghan,15.1
VSA38,Birth Rates,Birth Rates,2008,2008,2008,IE11,Border,Border,16.0
VSA38,Birth Rates,Birth Rates,2008,2008,2008,IE12,Midland,Midland,18.1
VSA38,Birth Rates,Birth Rates,2008,2008,2008,IE13,West,West,16.3
VSA38,Birth Rates,Birth Rates,2008,2008,2008,IE21,Dublin,Dublin,16.8
VSA38,Birth Rates,Birth Rates,2008,2008,2008,IE22,Mid-East,Mid-East,19.6
VSA38,Birth Rates,Birth Rates,2008,2008,2008,IE23,Mid-West,Mid-West,16.8
VSA38,Birth Rates,Birth Rates,2008,2008,2008,IE24,South-East,South-East,16.9
VSA38,Birth Rates,Birth Rates,2008,2008,2008,IE25,South-West,South-West,16.2
VSA38,Birth Rates,Birth Rates,2009,2009,2009,-,State,State,16.9
VSA38,Birth Rates,Birth Rates,2009,2009,2009,A,Leinster,Leinster,17.7
VSA38,Birth Rates,Birth Rates,2009,2009,2009,010,Carlow,Carlow,18.8
VSA38,Birth Rates,Birth Rates,2009,2009,2009,021,Dublin City,Dublin City,15.0
VSA38,Birth Rates,Birth Rates,2009,2009,2009,022,South Dublin,South Dublin,17.9
VSA38,Birth Rates,Birth Rates,2009,2009,2009,023,Fingal,Fingal,21.8
VSA38,Birth Rates,Birth Rates,2009,2009,2009,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,14.1
VSA38,Birth Rates,Birth Rates,2009,2009,2009,030,Kildare,Kildare,20.5
VSA38,Birth Rates,Birth Rates,2009,2009,2009,040,Kilkenny,Kilkenny,15.4
VSA38,Birth Rates,Birth Rates,2009,2009,2009,050,Laois,Laois,19.9
VSA38,Birth Rates,Birth Rates,2009,2009,2009,060,Longford,Longford,19.8
VSA38,Birth Rates,Birth Rates,2009,2009,2009,070,Louth,Louth,16.2
VSA38,Birth Rates,Birth Rates,2009,2009,2009,080,Meath,Meath,20.5
VSA38,Birth Rates,Birth Rates,2009,2009,2009,090,Offaly,Offaly,16.9
VSA38,Birth Rates,Birth Rates,2009,2009,2009,100,Westmeath,Westmeath,17.8
VSA38,Birth Rates,Birth Rates,2009,2009,2009,110,Wexford,Wexford,17.4
VSA38,Birth Rates,Birth Rates,2009,2009,2009,120,Wicklow,Wicklow,18.6
VSA38,Birth Rates,Birth Rates,2009,2009,2009,B,Munster,Munster,16.4
VSA38,Birth Rates,Birth Rates,2009,2009,2009,130,Clare,Clare,16.3
VSA38,Birth Rates,Birth Rates,2009,2009,2009,141,Cork City,Cork City,14.0
VSA38,Birth Rates,Birth Rates,2009,2009,2009,142,Cork County,Cork County,17.9
VSA38,Birth Rates,Birth Rates,2009,2009,2009,150,Kerry,Kerry,14.8
VSA38,Birth Rates,Birth Rates,2009,2009,2009,161,Limerick City,Limerick City,14.0
VSA38,Birth Rates,Birth Rates,2009,2009,2009,162,Limerick County,Limerick County,17.6
VSA38,Birth Rates,Birth Rates,2009,2009,2009,171,North Tipperary,North Tipperary,17.9
VSA38,Birth Rates,Birth Rates,2009,2009,2009,172,South Tipperary,South Tipperary,15.5
VSA38,Birth Rates,Birth Rates,2009,2009,2009,181,Waterford City,Waterford City,17.5
VSA38,Birth Rates,Birth Rates,2009,2009,2009,182,Waterford County,Waterford County,15.8
VSA38,Birth Rates,Birth Rates,2009,2009,2009,C,Connacht,Connacht,15.5
VSA38,Birth Rates,Birth Rates,2009,2009,2009,191,Galway City,Galway City,13.7
VSA38,Birth Rates,Birth Rates,2009,2009,2009,192,Galway County,Galway County,17.5
VSA38,Birth Rates,Birth Rates,2009,2009,2009,200,Leitrim,Leitrim,16.0
VSA38,Birth Rates,Birth Rates,2009,2009,2009,210,Mayo,Mayo,14.0
VSA38,Birth Rates,Birth Rates,2009,2009,2009,220,Roscommon,Roscommon,14.9
VSA38,Birth Rates,Birth Rates,2009,2009,2009,230,Sligo,Sligo,15.5
VSA38,Birth Rates,Birth Rates,2009,2009,2009,D,Ulster (part of),Ulster (part of),15.7
VSA38,Birth Rates,Birth Rates,2009,2009,2009,240,Cavan,Cavan,18.3
VSA38,Birth Rates,Birth Rates,2009,2009,2009,250,Donegal,Donegal,15.2
VSA38,Birth Rates,Birth Rates,2009,2009,2009,260,Monaghan,Monaghan,14.2
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE11,Border,Border,15.7
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE12,Midland,Midland,18.1
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE13,West,West,15.7
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE21,Dublin,Dublin,17.1
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE22,Mid-East,Mid-East,19.3
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE23,Mid-West,Mid-West,16.9
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE24,South-East,South-East,16.4
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE25,South-West,South-West,16.5
VSA38,Birth Rates,Birth Rates,2010,2010,2010,-,State,State,16.5
VSA38,Birth Rates,Birth Rates,2010,2010,2010,A,Leinster,Leinster,17.3
VSA38,Birth Rates,Birth Rates,2010,2010,2010,010,Carlow,Carlow,18.1
VSA38,Birth Rates,Birth Rates,2010,2010,2010,021,Dublin City,Dublin City,16.0
VSA38,Birth Rates,Birth Rates,2010,2010,2010,022,South Dublin,South Dublin,18.1
VSA38,Birth Rates,Birth Rates,2010,2010,2010,023,Fingal,Fingal,20.2
VSA38,Birth Rates,Birth Rates,2010,2010,2010,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,13.8
VSA38,Birth Rates,Birth Rates,2010,2010,2010,030,Kildare,Kildare,19.1
VSA38,Birth Rates,Birth Rates,2010,2010,2010,040,Kilkenny,Kilkenny,15.2
VSA38,Birth Rates,Birth Rates,2010,2010,2010,050,Laois,Laois,17.9
VSA38,Birth Rates,Birth Rates,2010,2010,2010,060,Longford,Longford,17.5
VSA38,Birth Rates,Birth Rates,2010,2010,2010,070,Louth,Louth,16.0
VSA38,Birth Rates,Birth Rates,2010,2010,2010,080,Meath,Meath,19.6
VSA38,Birth Rates,Birth Rates,2010,2010,2010,090,Offaly,Offaly,16.3
VSA38,Birth Rates,Birth Rates,2010,2010,2010,100,Westmeath,Westmeath,17.8
VSA38,Birth Rates,Birth Rates,2010,2010,2010,110,Wexford,Wexford,15.7
VSA38,Birth Rates,Birth Rates,2010,2010,2010,120,Wicklow,Wicklow,18.8
VSA38,Birth Rates,Birth Rates,2010,2010,2010,B,Munster,Munster,15.7
VSA38,Birth Rates,Birth Rates,2010,2010,2010,130,Clare,Clare,14.4
VSA38,Birth Rates,Birth Rates,2010,2010,2010,141,Cork City,Cork City,14.1
VSA38,Birth Rates,Birth Rates,2010,2010,2010,142,Cork County,Cork County,17.1
VSA38,Birth Rates,Birth Rates,2010,2010,2010,150,Kerry,Kerry,13.5
VSA38,Birth Rates,Birth Rates,2010,2010,2010,161,Limerick City,Limerick City,13.6
VSA38,Birth Rates,Birth Rates,2010,2010,2010,162,Limerick County,Limerick County,17.5
VSA38,Birth Rates,Birth Rates,2010,2010,2010,171,North Tipperary,North Tipperary,17.5
VSA38,Birth Rates,Birth Rates,2010,2010,2010,172,South Tipperary,South Tipperary,13.6
VSA38,Birth Rates,Birth Rates,2010,2010,2010,181,Waterford City,Waterford City,18.8
VSA38,Birth Rates,Birth Rates,2010,2010,2010,182,Waterford County,Waterford County,14.8
VSA38,Birth Rates,Birth Rates,2010,2010,2010,C,Connacht,Connacht,15.3
VSA38,Birth Rates,Birth Rates,2010,2010,2010,191,Galway City,Galway City,16.1
VSA38,Birth Rates,Birth Rates,2010,2010,2010,192,Galway County,Galway County,16.6
VSA38,Birth Rates,Birth Rates,2010,2010,2010,200,Leitrim,Leitrim,14.9
VSA38,Birth Rates,Birth Rates,2010,2010,2010,210,Mayo,Mayo,14.2
VSA38,Birth Rates,Birth Rates,2010,2010,2010,220,Roscommon,Roscommon,14.1
VSA38,Birth Rates,Birth Rates,2010,2010,2010,230,Sligo,Sligo,14.5
VSA38,Birth Rates,Birth Rates,2010,2010,2010,D,Ulster (part of),Ulster (part of),14.8
VSA38,Birth Rates,Birth Rates,2010,2010,2010,240,Cavan,Cavan,16.8
VSA38,Birth Rates,Birth Rates,2010,2010,2010,250,Donegal,Donegal,13.9
VSA38,Birth Rates,Birth Rates,2010,2010,2010,260,Monaghan,Monaghan,14.6
VSA38,Birth Rates,Birth Rates,2010,2010,2010,IE11,Border,Border,15.1
VSA38,Birth Rates,Birth Rates,2010,2010,2010,IE12,Midland,Midland,17.3
VSA38,Birth Rates,Birth Rates,2010,2010,2010,IE13,West,West,15.5
VSA38,Birth Rates,Birth Rates,2010,2010,2010,IE21,Dublin,Dublin,17.0
VSA38,Birth Rates,Birth Rates,2010,2010,2010,IE22,Mid-East,Mid-East,19.2
VSA38,Birth Rates,Birth Rates,2010,2010,2010,IE23,Mid-West,Mid-West,16.0
VSA38,Birth Rates,Birth Rates,2010,2010,2010,IE24,South-East,South-East,15.7
VSA38,Birth Rates,Birth Rates,2010,2010,2010,IE25,South-West,South-West,15.8
VSA38,Birth Rates,Birth Rates,2011,2011,2011,-,State,State,16.2
VSA38,Birth Rates,Birth Rates,2011,2011,2011,A,Leinster,Leinster,17.0
VSA38,Birth Rates,Birth Rates,2011,2011,2011,010,Carlow,Carlow,18.1
VSA38,Birth Rates,Birth Rates,2011,2011,2011,021,Dublin City,Dublin City,15.7
VSA38,Birth Rates,Birth Rates,2011,2011,2011,022,South Dublin,South Dublin,18.9
VSA38,Birth Rates,Birth Rates,2011,2011,2011,023,Fingal,Fingal,20.2
VSA38,Birth Rates,Birth Rates,2011,2011,2011,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,13.8
VSA38,Birth Rates,Birth Rates,2011,2011,2011,030,Kildare,Kildare,18.3
VSA38,Birth Rates,Birth Rates,2011,2011,2011,040,Kilkenny,Kilkenny,14.9
VSA38,Birth Rates,Birth Rates,2011,2011,2011,050,Laois,Laois,16.6
VSA38,Birth Rates,Birth Rates,2011,2011,2011,060,Longford,Longford,16.1
VSA38,Birth Rates,Birth Rates,2011,2011,2011,070,Louth,Louth,15.3
VSA38,Birth Rates,Birth Rates,2011,2011,2011,080,Meath,Meath,19.0
VSA38,Birth Rates,Birth Rates,2011,2011,2011,090,Offaly,Offaly,16.2
VSA38,Birth Rates,Birth Rates,2011,2011,2011,100,Westmeath,Westmeath,16.1
VSA38,Birth Rates,Birth Rates,2011,2011,2011,110,Wexford,Wexford,15.7
VSA38,Birth Rates,Birth Rates,2011,2011,2011,120,Wicklow,Wicklow,16.5
VSA38,Birth Rates,Birth Rates,2011,2011,2011,B,Munster,Munster,15.5
VSA38,Birth Rates,Birth Rates,2011,2011,2011,130,Clare,Clare,14.8
VSA38,Birth Rates,Birth Rates,2011,2011,2011,141,Cork City,Cork City,13.5
VSA38,Birth Rates,Birth Rates,2011,2011,2011,142,Cork County,Cork County,16.7
VSA38,Birth Rates,Birth Rates,2011,2011,2011,150,Kerry,Kerry,14.0
VSA38,Birth Rates,Birth Rates,2011,2011,2011,161,Limerick City,Limerick City,13.6
VSA38,Birth Rates,Birth Rates,2011,2011,2011,162,Limerick County,Limerick County,17.2
VSA38,Birth Rates,Birth Rates,2011,2011,2011,171,North Tipperary,North Tipperary,16.8
VSA38,Birth Rates,Birth Rates,2011,2011,2011,172,South Tipperary,South Tipperary,13.8
VSA38,Birth Rates,Birth Rates,2011,2011,2011,181,Waterford City,Waterford City,17.9
VSA38,Birth Rates,Birth Rates,2011,2011,2011,182,Waterford County,Waterford County,14.4
VSA38,Birth Rates,Birth Rates,2011,2011,2011,C,Connacht,Connacht,14.9
VSA38,Birth Rates,Birth Rates,2011,2011,2011,191,Galway City,Galway City,15.6
VSA38,Birth Rates,Birth Rates,2011,2011,2011,192,Galway County,Galway County,16.3
VSA38,Birth Rates,Birth Rates,2011,2011,2011,200,Leitrim,Leitrim,14.4
VSA38,Birth Rates,Birth Rates,2011,2011,2011,210,Mayo,Mayo,13.9
VSA38,Birth Rates,Birth Rates,2011,2011,2011,220,Roscommon,Roscommon,13.5
VSA38,Birth Rates,Birth Rates,2011,2011,2011,230,Sligo,Sligo,14.3
VSA38,Birth Rates,Birth Rates,2011,2011,2011,D,Ulster (part of),Ulster (part of),14.6
VSA38,Birth Rates,Birth Rates,2011,2011,2011,240,Cavan,Cavan,17.3
VSA38,Birth Rates,Birth Rates,2011,2011,2011,250,Donegal,Donegal,13.5
VSA38,Birth Rates,Birth Rates,2011,2011,2011,260,Monaghan,Monaghan,14.5
VSA38,Birth Rates,Birth Rates,2011,2011,2011,IE11,Border,Border,14.7
VSA38,Birth Rates,Birth Rates,2011,2011,2011,IE12,Midland,Midland,16.3
VSA38,Birth Rates,Birth Rates,2011,2011,2011,IE13,West,West,15.1
VSA38,Birth Rates,Birth Rates,2011,2011,2011,IE21,Dublin,Dublin,17.1
VSA38,Birth Rates,Birth Rates,2011,2011,2011,IE22,Mid-East,Mid-East,18.0
VSA38,Birth Rates,Birth Rates,2011,2011,2011,IE23,Mid-West,Mid-West,15.8
VSA38,Birth Rates,Birth Rates,2011,2011,2011,IE24,South-East,South-East,15.5
VSA38,Birth Rates,Birth Rates,2011,2011,2011,IE25,South-West,South-West,15.5
VSA38,Birth Rates,Birth Rates,2012,2012,2012,-,State,State,15.6
VSA38,Birth Rates,Birth Rates,2012,2012,2012,A,Leinster,Leinster,16.4
VSA38,Birth Rates,Birth Rates,2012,2012,2012,010,Carlow,Carlow,16.8
VSA38,Birth Rates,Birth Rates,2012,2012,2012,021,Dublin City,Dublin City,15.3
VSA38,Birth Rates,Birth Rates,2012,2012,2012,022,South Dublin,South Dublin,18.4
VSA38,Birth Rates,Birth Rates,2012,2012,2012,023,Fingal,Fingal,20.2
VSA38,Birth Rates,Birth Rates,2012,2012,2012,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,13.6
VSA38,Birth Rates,Birth Rates,2012,2012,2012,030,Kildare,Kildare,17.2
VSA38,Birth Rates,Birth Rates,2012,2012,2012,040,Kilkenny,Kilkenny,14.5
VSA38,Birth Rates,Birth Rates,2012,2012,2012,050,Laois,Laois,15.7
VSA38,Birth Rates,Birth Rates,2012,2012,2012,060,Longford,Longford,16.3
VSA38,Birth Rates,Birth Rates,2012,2012,2012,070,Louth,Louth,15.2
VSA38,Birth Rates,Birth Rates,2012,2012,2012,080,Meath,Meath,17.1
VSA38,Birth Rates,Birth Rates,2012,2012,2012,090,Offaly,Offaly,15.0
VSA38,Birth Rates,Birth Rates,2012,2012,2012,100,Westmeath,Westmeath,16.7
VSA38,Birth Rates,Birth Rates,2012,2012,2012,110,Wexford,Wexford,15.2
VSA38,Birth Rates,Birth Rates,2012,2012,2012,120,Wicklow,Wicklow,16.3
VSA38,Birth Rates,Birth Rates,2012,2012,2012,B,Munster,Munster,14.8
VSA38,Birth Rates,Birth Rates,2012,2012,2012,130,Clare,Clare,14.5
VSA38,Birth Rates,Birth Rates,2012,2012,2012,141,Cork City,Cork City,12.1
VSA38,Birth Rates,Birth Rates,2012,2012,2012,142,Cork County,Cork County,16.5
VSA38,Birth Rates,Birth Rates,2012,2012,2012,150,Kerry,Kerry,13.5
VSA38,Birth Rates,Birth Rates,2012,2012,2012,161,Limerick City,Limerick City,14.7
VSA38,Birth Rates,Birth Rates,2012,2012,2012,162,Limerick County,Limerick County,15.3
VSA38,Birth Rates,Birth Rates,2012,2012,2012,171,North Tipperary,North Tipperary,14.6
VSA38,Birth Rates,Birth Rates,2012,2012,2012,172,South Tipperary,South Tipperary,13.3
VSA38,Birth Rates,Birth Rates,2012,2012,2012,181,Waterford City,Waterford City,17.2
VSA38,Birth Rates,Birth Rates,2012,2012,2012,182,Waterford County,Waterford County,12.9
VSA38,Birth Rates,Birth Rates,2012,2012,2012,C,Connacht,Connacht,14.7
VSA38,Birth Rates,Birth Rates,2012,2012,2012,191,Galway City,Galway City,16.4
VSA38,Birth Rates,Birth Rates,2012,2012,2012,192,Galway County,Galway County,15.5
VSA38,Birth Rates,Birth Rates,2012,2012,2012,200,Leitrim,Leitrim,14.2
VSA38,Birth Rates,Birth Rates,2012,2012,2012,210,Mayo,Mayo,13.4
VSA38,Birth Rates,Birth Rates,2012,2012,2012,220,Roscommon,Roscommon,13.4
VSA38,Birth Rates,Birth Rates,2012,2012,2012,230,Sligo,Sligo,14.8
VSA38,Birth Rates,Birth Rates,2012,2012,2012,D,Ulster (part of),Ulster (part of),13.8
VSA38,Birth Rates,Birth Rates,2012,2012,2012,240,Cavan,Cavan,15.7
VSA38,Birth Rates,Birth Rates,2012,2012,2012,250,Donegal,Donegal,12.8
VSA38,Birth Rates,Birth Rates,2012,2012,2012,260,Monaghan,Monaghan,13.7
VSA38,Birth Rates,Birth Rates,2012,2012,2012,IE11,Border,Border,14.3
VSA38,Birth Rates,Birth Rates,2012,2012,2012,IE12,Midland,Midland,15.9
VSA38,Birth Rates,Birth Rates,2012,2012,2012,IE13,West,West,14.7
VSA38,Birth Rates,Birth Rates,2012,2012,2012,IE21,Dublin,Dublin,16.8
VSA38,Birth Rates,Birth Rates,2012,2012,2012,IE22,Mid-East,Mid-East,17.0
VSA38,Birth Rates,Birth Rates,2012,2012,2012,IE23,Mid-West,Mid-West,14.8
VSA38,Birth Rates,Birth Rates,2012,2012,2012,IE24,South-East,South-East,14.8
VSA38,Birth Rates,Birth Rates,2012,2012,2012,IE25,South-West,South-West,15.1
VSA38,Birth Rates,Birth Rates,2013,2013,2013,-,State,State,15.0
VSA38,Birth Rates,Birth Rates,2013,2013,2013,A,Leinster,Leinster,15.8
VSA38,Birth Rates,Birth Rates,2013,2013,2013,010,Carlow,Carlow,15.8
VSA38,Birth Rates,Birth Rates,2013,2013,2013,021,Dublin City,Dublin City,15.2
VSA38,Birth Rates,Birth Rates,2013,2013,2013,022,South Dublin,South Dublin,17.0
VSA38,Birth Rates,Birth Rates,2013,2013,2013,023,Fingal,Fingal,19.3
VSA38,Birth Rates,Birth Rates,2013,2013,2013,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,13.6
VSA38,Birth Rates,Birth Rates,2013,2013,2013,030,Kildare,Kildare,16.1
VSA38,Birth Rates,Birth Rates,2013,2013,2013,040,Kilkenny,Kilkenny,13.8
VSA38,Birth Rates,Birth Rates,2013,2013,2013,050,Laois,Laois,14.8
VSA38,Birth Rates,Birth Rates,2013,2013,2013,060,Longford,Longford,15.3
